"Label (Grouping)","Tennessee!!Total!!Estimate","Tennessee!!Total!!Margin of Error","Tennessee!!Below poverty level!!Estimate","Tennessee!!Below poverty level!!Margin of Error","Tennessee!!Percent below poverty level!!Estimate","Tennessee!!Percent below poverty level!!Margin of Error","Cannon County, Tennessee!!Total!!Estimate","Cannon County, Tennessee!!Total!!Margin of Error","Cannon County, Tennessee!!Below poverty level!!Estimate","Cannon County, Tennessee!!Below poverty level!!Margin of Error","Cannon County, Tennessee!!Percent below poverty level!!Estimate","Cannon County, Tennessee!!Percent below poverty level!!Margin of Error","Clay County, Tennessee!!Total!!Estimate","Clay County, Tennessee!!Total!!Margin of Error","Clay County, Tennessee!!Below poverty level!!Estimate","Clay County, Tennessee!!Below poverty level!!Margin of Error","Clay County, Tennessee!!Percent below poverty level!!Estimate","Clay County, Tennessee!!Percent below poverty level!!Margin of Error","Cumberland County, Tennessee!!Total!!Estimate","Cumberland County, Tennessee!!Total!!Margin of Error","Cumberland County, Tennessee!!Below poverty level!!Estimate","Cumberland County, Tennessee!!Below poverty level!!Margin of Error","Cumberland County, Tennessee!!Percent below poverty level!!Estimate","Cumberland County, Tennessee!!Percent below poverty level!!Margin of Error","DeKalb County, Tennessee!!Total!!Estimate","DeKalb County, Tennessee!!Total!!Margin of Error","DeKalb County, Tennessee!!Below poverty level!!Estimate","DeKalb County, Tennessee!!Below poverty level!!Margin of Error","DeKalb County, Tennessee!!Percent below poverty level!!Estimate","DeKalb County, Tennessee!!Percent below poverty level!!Margin of Error","Fentress County, Tennessee!!Total!!Estimate","Fentress County, Tennessee!!Total!!Margin of Error","Fentress County, Tennessee!!Below poverty level!!Estimate","Fentress County, Tennessee!!Below poverty level!!Margin of Error","Fentress County, Tennessee!!Percent below poverty level!!Estimate","Fentress County, Tennessee!!Percent below poverty level!!Margin of Error","Jackson County, Tennessee!!Total!!Estimate","Jackson County, Tennessee!!Total!!Margin of Error","Jackson County, Tennessee!!Below poverty level!!Estimate","Jackson County, Tennessee!!Below poverty level!!Margin of Error","Jackson County, Tennessee!!Percent below poverty level!!Estimate","Jackson County, Tennessee!!Percent below poverty level!!Margin of Error","Macon County, Tennessee!!Total!!Estimate","Macon County, Tennessee!!Total!!Margin of Error","Macon County, Tennessee!!Below poverty level!!Estimate","Macon County, Tennessee!!Below poverty level!!Margin of Error","Macon County, Tennessee!!Percent below poverty level!!Estimate","Macon County, Tennessee!!Percent below poverty level!!Margin of Error","Overton County, Tennessee!!Total!!Estimate","Overton County, Tennessee!!Total!!Margin of Error","Overton County, Tennessee!!Below poverty level!!Estimate","Overton County, Tennessee!!Below poverty level!!Margin of Error","Overton County, Tennessee!!Percent below poverty level!!Estimate","Overton County, Tennessee!!Percent below poverty level!!Margin of Error","Pickett County, Tennessee!!Total!!Estimate","Pickett County, Tennessee!!Total!!Margin of Error","Pickett County, Tennessee!!Below poverty level!!Estimate","Pickett County, Tennessee!!Below poverty level!!Margin of Error","Pickett County, Tennessee!!Percent below poverty level!!Estimate","Pickett County, Tennessee!!Percent below poverty level!!Margin of Error","Putnam County, Tennessee!!Total!!Estimate","Putnam County, Tennessee!!Total!!Margin of Error","Putnam County, Tennessee!!Below poverty level!!Estimate","Putnam County, Tennessee!!Below poverty level!!Margin of Error","Putnam County, Tennessee!!Percent below poverty level!!Estimate","Putnam County, Tennessee!!Percent below poverty level!!Margin of Error","Smith County, Tennessee!!Total!!Estimate","Smith County, Tennessee!!Total!!Margin of Error","Smith County, Tennessee!!Below poverty level!!Estimate","Smith County, Tennessee!!Below poverty level!!Margin of Error","Smith County, Tennessee!!Percent below poverty level!!Estimate","Smith County, Tennessee!!Percent below poverty level!!Margin of Error","Van Buren County, Tennessee!!Total!!Estimate","Van Buren County, Tennessee!!Total!!Margin of Error","Van Buren County, Tennessee!!Below poverty level!!Estimate","Van Buren County, Tennessee!!Below poverty level!!Margin of Error","Van Buren County, Tennessee!!Percent below poverty level!!Estimate","Van Buren County, Tennessee!!Percent below poverty level!!Margin of Error","Warren County, Tennessee!!Total!!Estimate","Warren County, Tennessee!!Total!!Margin of Error","Warren County, Tennessee!!Below poverty level!!Estimate","Warren County, Tennessee!!Below poverty level!!Margin of Error","Warren County, Tennessee!!Percent below poverty level!!Estimate","Warren County, Tennessee!!Percent below poverty level!!Margin of Error","White County, Tennessee!!Total!!Estimate","White County, Tennessee!!Total!!Margin of Error","White County, Tennessee!!Below poverty level!!Estimate","White County, Tennessee!!Below poverty level!!Margin of Error","White County, Tennessee!!Percent below poverty level!!Estimate","White County, Tennessee!!Percent below poverty level!!Margin of Error"
"        Some other race alone","190,513","±5,129","45,885","±3,520","24.1%","±1.7","135","±87","54","±64","40.0%","±46.8","0","±20","0","±20","-","**","459","±279","329","±273","71.7%","±23.9","920","±333","541","±291","58.8%","±18.3","38","±62","0","±22","0.0%","±56.6","63","±82","8","±22","12.7%","±21.9","426","±221","158","±153","37.1%","±30.3","181","±150","0","±26","0.0%","±21.8","55","±24","0","±20","0.0%","±47.1","2,798","±693","1,667","±634","59.6%","±15.8","267","±157","11","±19","4.1%","±7.8","110","±34","24","±38","21.8%","±37.3","1,144","±526","450","±358","39.3%","±20.8","202","±124","0","±26","0.0%","±19.8"
"        Two or more races","485,050","±7,743","89,192","±5,142","18.4%","±1.0","485","±195","97","±88","20.0%","±15.2","126","±90","39","±34","31.0%","±23.9","2,467","±399","402","±200","16.3%","±8.0","921","±311","90","±65","9.8%","±7.4","848","±235","284","±119","33.5%","±14.2","718","±180","201","±108","28.0%","±13.6","2,268","±293","529","±244","23.3%","±11.4","605","±159","150","±74","24.8%","±11.6","170","±72","70","±27","41.2%","±19.9","4,798","±818","1,801","±721","37.5%","±11.0","1,143","±238","274","±155","24.0%","±12.4","201","±48","67","±42","33.3%","±18.6","3,169","±704","221","±80","7.0%","±2.7","1,295","±253","61","±82","4.7%","±6.7"
"        Hispanic or Latino origin (of any race)","512,766","±1,227","108,094","±5,305","21.1%","±1.0","457","±5","248","±144","54.3%","±31.5","18","±34","0","±20","0.0%","±82.3","2,250","±3","880","±375","39.1%","±16.6","1,606","±33","569","±275","35.4%","±17.2","408","±11","41","±59","10.0%","±14.4","342","±22","120","±74","35.1%","±21.5","1,825","±22","374","±289","20.5%","±15.9","503","±23","143","±80","28.4%","±15.8","105","±6","2","±8","1.9%","±8.0","6,824","±71","3,367","±744","49.3%","±10.9","629","±20","210","±150","33.4%","±23.8","144","±20","31","±39","21.5%","±27.3","4,199","±2","785","±476","18.7%","±11.3","909","±4","65","±96","7.2%","±10.5"
"        White alone, not Hispanic or Latino","4,918,822","±3,814","545,915","±10,264","11.1%","±0.2","13,498","±64","2,137","±473","15.8%","±3.5","7,143","±27","1,750","±412","24.5%","±5.8","58,571","±175","7,768","±1,235","13.3%","±2.1","18,102","±97","2,941","±699","16.2%","±3.9","17,876","±301","3,695","±747","20.7%","±4.3","10,937","±141","2,141","±459","19.6%","±4.3","22,960","±133","3,587","±761","15.6%","±3.3","21,348","±190","3,470","±751","16.3%","±3.5","4,770","±70","1,128","±294","23.6%","±6.1","67,217","±351","10,119","±1,209","15.1%","±1.8","18,191","±213","1,673","±452","9.2%","±2.5","5,897","±128","904","±290","15.3%","±4.9","34,643","±142","5,035","±793","14.5%","±2.3","25,575","±147","3,549","±746","13.9%","±2.9"
"    EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Population 25 years and over","4,799,818","±1,594","549,369","±8,412","11.4%","±0.2","10,361","±95","1,547","±323","14.9%","±3.1","5,626","±156","1,352","±302","24.0%","±5.3","48,906","±123","6,065","±772","12.4%","±1.6","14,679","±109","2,148","±447","14.6%","±3.1","13,842","±88","2,833","±514","20.5%","±3.7","8,890","±69","1,726","±348","19.4%","±3.9","17,439","±141","2,526","±458","14.5%","±2.6","16,327","±47","2,568","±546","15.7%","±3.3","3,797","±70","760","±199","20.0%","±5.2","52,647","±295","7,286","±839","13.8%","±1.6","14,204","±75","1,414","±353","10.0%","±2.5","4,600","±85","660","±184","14.3%","±4.0","28,676","±187","4,011","±561","14.0%","±2.0","19,972","±27","2,505","±459","12.5%","±2.3"
"            Less than high school graduate","465,822","±7,323","129,940","±3,636","27.9%","±0.6","1,429","±276","377","±149","26.4%","±9.2","842","±213","377","±139","44.8%","±16.0","4,314","±555","1,292","±316","29.9%","±6.2","2,248","±389","719","±257","32.0%","±9.2","2,441","±337","900","±260","36.9%","±9.7","1,370","±261","500","±152","36.5%","±9.3","2,951","±517","845","±261","28.6%","±7.7","2,768","±481","874","±330","31.6%","±10.2","538","±173","195","±111","36.2%","±14.9","5,652","±558","1,729","±397","30.6%","±6.3","1,660","±245","330","±123","19.9%","±7.1","630","±143","173","±84","27.5%","±12.7","3,886","±461","1,008","±293","25.9%","±6.6","3,129","±562","688","±219","22.0%","±7.8"
"            High school graduate (includes equivalency)","1,485,657","±11,366","224,330","±4,662","15.1%","±0.3","4,273","±396","687","±226","16.1%","±5.1","2,723","±339","563","±216","20.7%","±7.5","20,311","±1,133","3,003","±545","14.8%","±2.5","5,718","±441","955","±224","16.7%","±3.8","5,697","±505","1,461","±331","25.6%","±5.5","4,153","±320","741","±219","17.8%","±5.2","8,509","±716","1,273","±300","15.0%","±3.3","7,082","±498","1,087","±345","15.3%","±4.5","1,440","±201","422","±139","29.3%","±8.5","17,028","±972","2,696","±505","15.8%","±2.7","5,982","±429","690","±206","11.5%","±3.3","1,970","±203","357","±130","18.1%","±6.0","14,146","±685","2,149","±408","15.2%","±2.7","7,859","±597","969","±264","12.3%","±3.3"
"            Some college, associate's degree","1,341,251","±9,361","129,993","±4,024","9.7%","±0.3","2,896","±319","357","±107","12.3%","±3.7","1,410","±269","395","±192","28.0%","±10.8","14,955","±841","1,335","±287","8.9%","±1.8","3,627","±397","303","±128","8.4%","±3.5","3,671","±440","357","±135","9.7%","±3.6","2,025","±262","424","±138","20.9%","±6.8","3,766","±530","330","±144","8.8%","±3.7","4,014","±383","452","±221","11.3%","±5.1","1,089","±214","109","±51","10.0%","±4.9","14,152","±895","1,828","±371","12.9%","±2.5","3,924","±372","253","±110","6.4%","±2.7","1,362","±176","92","±61","6.8%","±4.5","6,538","±578","730","±205","11.2%","±3.2","5,933","±533","631","±222","10.6%","±3.5"
"            Bachelor's degree or higher","1,507,088","±13,336","65,106","±2,428","4.3%","±0.2","1,763","±370","126","±72","7.1%","±4.0","651","±161","17","±26","2.6%","±4.0","9,326","±690","435","±148","4.7%","±1.6","3,086","±507","171","±167","5.5%","±5.4","2,033","±350","115","±106","5.7%","±5.0","1,342","±265","61","±56","4.5%","±4.1","2,213","±449","78","±65","3.5%","±2.9","2,463","±383","155","±105","6.3%","±4.2","730","±145","34","±32","4.7%","±4.4","15,815","±1,042","1,033","±252","6.5%","±1.6","2,638","±326","141","±111","5.3%","±4.2","638","±166","38","±32","6.0%","±5.3","4,106","±536","124","±81","3.0%","±2.0","3,051","±405","217","±112","7.1%","±3.7"
"    EMPLOYMENT STATUS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Civilian labor force 16 years and over","3,502,268","±9,353","249,769","±5,261","7.1%","±0.1","6,607","±365","538","±184","8.1%","±2.8","2,926","±249","452","±176","15.4%","±5.8","24,821","±682","1,807","±408","7.3%","±1.7","9,404","±528","775","±264","8.2%","±2.8","7,413","±500","666","±226","9.0%","±3.2","5,430","±307","499","±152","9.2%","±2.9","12,497","±640","948","±241","7.6%","±2.0","10,930","±475","667","±216","6.1%","±2.0","2,040","±191","264","±113","12.9%","±5.5","40,313","±879","4,450","±646","11.0%","±1.6","10,067","±400","433","±159","4.3%","±1.6","2,750","±188","306","±147","11.1%","±5.2","19,421","±713","1,529","±275","7.9%","±1.4","12,373","±503","975","±295","7.9%","±2.4"
"            Employed","3,339,121","±9,959","198,561","±4,748","5.9%","±0.1","6,422","±367","443","±181","6.9%","±2.8","2,632","±276","333","±136","12.7%","±4.9","23,566","±695","1,396","±386","5.9%","±1.7","8,881","±554","584","±215","6.6%","±2.4","7,068","±478","641","±224","9.1%","±3.2","5,015","±333","343","±119","6.8%","±2.4","12,070","±645","784","±236","6.5%","±2.0","10,584","±478","603","±209","5.7%","±2.0","1,902","±217","209","±89","11.0%","±4.7","38,829","±914","4,104","±621","10.6%","±1.6","9,799","±437","422","±160","4.3%","±1.7","2,686","±192","306","±147","11.4%","±5.3","18,276","±748","1,341","±273","7.3%","±1.5","11,684","±591","791","±234","6.8%","±2.0"
"                Male","1,753,160","±6,918","89,042","±3,209","5.1%","±0.2","3,352","±231","286","±125","8.5%","±3.7","1,380","±190","188","±107","13.6%","±7.1","12,909","±461","669","±227","5.2%","±1.7","4,826","±348","342","±155","7.1%","±3.1","3,817","±327","324","±131","8.5%","±3.3","2,735","±237","127","±85","4.6%","±3.1","6,609","±432","338","±134","5.1%","±2.1","5,779","±313","226","±106","3.9%","±1.8","977","±130","94","±58","9.6%","±6.0","21,154","±644","2,571","±482","12.2%","±2.2","5,336","±272","189","±111","3.5%","±2.1","1,513","±138","177","±97","11.7%","±6.3","9,939","±470","545","±152","5.5%","±1.6","6,093","±374","442","±172","7.3%","±2.8"
"                Female","1,585,961","±7,298","109,519","±3,220","6.9%","±0.2","3,070","±249","157","±96","5.1%","±3.0","1,252","±182","145","±85","11.6%","±6.4","10,657","±521","727","±231","6.8%","±2.2","4,055","±356","242","±120","6.0%","±3.0","3,251","±317","317","±174","9.8%","±5.3","2,280","±226","216","±79","9.5%","±3.5","5,461","±411","446","±196","8.2%","±3.5","4,805","±350","377","±175","7.8%","±3.6","925","±139","115","±71","12.4%","±7.2","17,675","±656","1,533","±321","8.7%","±1.8","4,463","±255","233","±98","5.2%","±2.2","1,173","±113","129","±68","11.0%","±5.8","8,337","±483","796","±222","9.5%","±2.6","5,591","±404","349","±163","6.2%","±2.9"
"            Unemployed","163,147","±4,182","51,208","±2,168","31.4%","±1.1","185","±109","95","±74","51.4%","±22.3","294","±153","119","±101","40.5%","±23.7","1,255","±257","411","±146","32.7%","±10.3","523","±161","191","±99","36.5%","±15.0","345","±197","25","±27","7.2%","±8.5","415","±123","156","±89","37.6%","±17.2","427","±144","164","±87","38.4%","±18.1","346","±144","64","±42","18.5%","±13.2","138","±79","55","±45","39.9%","±29.0","1,484","±375","346","±131","23.3%","±9.2","268","±152","11","±13","4.1%","±5.0","64","±45","0","±20","0.0%","±43.6","1,145","±317","188","±129","16.4%","±9.9","689","±212","184","±131","26.7%","±15.3"
"                Male","81,841","±2,801","22,588","±1,337","27.6%","±1.4","72","±50","26","±31","36.1%","±37.9","187","±116","66","±61","35.3%","±23.7","724","±181","300","±123","41.4%","±13.3","234","±93","47","±45","20.1%","±17.1","108","±77","10","±18","9.3%","±17.6","106","±63","40","±39","37.7%","±33.7","181","±102","46","±44","25.4%","±21.1","296","±140","52","±39","17.6%","±15.1","59","±47","39","±42","66.1%","±38.0","761","±295","190","±94","25.0%","±13.8","121","±67","5","±8","4.1%","±6.6","46","±38","0","±20","0.0%","±51.5","687","±221","68","±52","9.9%","±7.9","362","±164","94","±68","26.0%","±17.9"
"                Female","81,306","±2,814","28,620","±1,675","35.2%","±1.7","113","±83","69","±71","61.1%","±34.6","107","±77","53","±53","49.5%","±36.3","531","±168","111","±71","20.9%","±12.3","289","±139","144","±100","49.8%","±24.3","237","±179","15","±17","6.3%","±9.2","309","±114","116","±86","37.5%","±22.2","246","±105","118","±86","48.0%","±26.8","50","±41","12","±13","24.0%","±28.3","79","±57","16","±16","20.3%","±25.0","723","±227","156","±97","21.6%","±12.0","147","±135","6","±9","4.1%","±7.4","18","±17","0","±20","0.0%","±82.3","458","±171","120","±98","26.2%","±17.2","327","±129","90","±84","27.5%","±21.0"
"    WORK EXPERIENCE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Population 16 years and over","5,555,629","±2,409","692,237","±10,230","12.5%","±0.2","11,735","±134","1,836","±378","15.6%","±3.2","6,327","±71","1,503","±344","23.8%","±5.4","53,672","±174","6,767","±858","12.6%","±1.6","16,731","±84","2,672","±559","16.0%","±3.3","15,813","±77","3,161","±576","20.0%","±3.6","10,008","±77","1,905","±389","19.0%","±3.9","20,223","±123","3,020","±549","14.9%","±2.7","18,678","±95","2,788","±574","14.9%","±3.1","4,205","±55","816","±205","19.4%","±4.9","64,320","±283","10,980","±1,098","17.1%","±1.7","16,262","±85","1,656","±411","10.2%","±2.5","5,204","±57","731","±197","14.0%","±3.8","33,179","±212","4,838","±680","14.6%","±2.1","22,531","±138","2,701","±485","12.0%","±2.1"
"            Worked full-time, year-round in the past 12 months","2,494,676","±10,329","66,564","±2,266","2.7%","±0.1","4,936","±351","167","±89","3.4%","±1.7","2,080","±267","140","±82","6.7%","±3.8","16,794","±732","490","±206","2.9%","±1.2","6,660","±606","259","±128","3.9%","±2.0","5,181","±516","307","±127","5.9%","±2.6","3,526","±317","68","±41","1.9%","±1.2","8,781","±611","302","±147","3.4%","±1.7","7,740","±474","222","±159","2.9%","±2.1","1,435","±232","102","±66","7.1%","±4.5","27,732","±1,034","1,131","±333","4.1%","±1.2","7,659","±427","209","±92","2.7%","±1.2","1,880","±189","172","±109","9.1%","±5.7","13,384","±716","619","±187","4.6%","±1.4","8,223","±598","325","±172","4.0%","±2.1"
"            Worked part-time or part-year in the past 12 months","1,155,395","±9,369","192,883","±4,635","16.7%","±0.4","2,061","±286","404","±165","19.6%","±7.5","835","±190","307","±151","36.8%","±13.7","9,665","±690","1,302","±291","13.5%","±3.3","3,159","±407","447","±163","14.2%","±4.8","2,398","±401","487","±274","20.3%","±10.9","1,969","±289","353","±119","17.9%","±5.5","4,243","±521","671","±191","15.8%","±3.9","3,669","±375","558","±179","15.2%","±4.6","649","±167","154","±67","23.7%","±9.0","14,621","±991","3,960","±581","27.1%","±3.2","2,842","±308","310","±120","10.9%","±4.2","982","±166","169","±80","17.2%","±7.7","6,580","±526","995","±235","15.1%","±3.3","4,916","±528","722","±230","14.7%","±4.7"
"            Did not work","1,905,558","±10,357","432,790","±7,427","22.7%","±0.3","4,738","±379","1,265","±299","26.7%","±5.8","3,412","±237","1,056","±301","30.9%","±7.6","27,213","±737","4,975","±680","18.3%","±2.3","6,912","±464","1,966","±472","28.4%","±5.9","8,234","±481","2,367","±456","28.7%","±4.9","4,513","±348","1,484","±343","32.9%","±6.6","7,199","±616","2,047","±433","28.4%","±5.5","7,269","±448","2,008","±471","27.6%","±5.5","2,121","±192","560","±185","26.4%","±7.8","21,967","±802","5,889","±742","26.8%","±3.1","5,761","±415","1,137","±335","19.7%","±5.0","2,342","±176","390","±121","16.7%","±4.9","13,215","±715","3,224","±611","24.4%","±4.0","9,392","±565","1,654","±326","17.6%","±3.3"
"    ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        50 percent of poverty level","446,711","±12,122","(X)","(X)","(X)","(X)","1,659","±530","(X)","(X)","(X)","(X)","572","±221","(X)","(X)","(X)","(X)","3,675","±683","(X)","(X)","(X)","(X)","1,366","±543","(X)","(X)","(X)","(X)","1,322","±405","(X)","(X)","(X)","(X)","1,215","±342","(X)","(X)","(X)","(X)","2,206","±571","(X)","(X)","(X)","(X)","1,313","±351","(X)","(X)","(X)","(X)","297","±138","(X)","(X)","(X)","(X)","7,250","±1,102","(X)","(X)","(X)","(X)","748","±300","(X)","(X)","(X)","(X)","410","±162","(X)","(X)","(X)","(X)","2,928","±921","(X)","(X)","(X)","(X)","1,870","±657","(X)","(X)","(X)","(X)"
"        125 percent of poverty level","1,242,300","±18,267","(X)","(X)","(X)","(X)","3,202","±599","(X)","(X)","(X)","(X)","2,346","±497","(X)","(X)","(X)","(X)","12,846","±1,535","(X)","(X)","(X)","(X)","5,078","±904","(X)","(X)","(X)","(X)","5,034","±848","(X)","(X)","(X)","(X)","2,653","±503","(X)","(X)","(X)","(X)","5,938","±903","(X)","(X)","(X)","(X)","4,759","±766","(X)","(X)","(X)","(X)","1,362","±302","(X)","(X)","(X)","(X)","19,438","±1,649","(X)","(X)","(X)","(X)","2,671","±524","(X)","(X)","(X)","(X)","1,318","±368","(X)","(X)","(X)","(X)","9,009","±1,152","(X)","(X)","(X)","(X)","5,640","±846","(X)","(X)","(X)","(X)"
"        150 percent of poverty level","1,554,916","±19,108","(X)","(X)","(X)","(X)","3,887","±609","(X)","(X)","(X)","(X)","2,744","±510","(X)","(X)","(X)","(X)","17,108","±1,659","(X)","(X)","(X)","(X)","5,973","±931","(X)","(X)","(X)","(X)","6,358","±884","(X)","(X)","(X)","(X)","3,533","±544","(X)","(X)","(X)","(X)","7,382","±946","(X)","(X)","(X)","(X)","6,496","±825","(X)","(X)","(X)","(X)","1,815","±278","(X)","(X)","(X)","(X)","22,805","±1,755","(X)","(X)","(X)","(X)","3,919","±647","(X)","(X)","(X)","(X)","1,647","±369","(X)","(X)","(X)","(X)","10,839","±1,195","(X)","(X)","(X)","(X)","8,050","±949","(X)","(X)","(X)","(X)"
"        185 percent of poverty level","1,993,753","±20,169","(X)","(X)","(X)","(X)","4,954","±651","(X)","(X)","(X)","(X)","3,430","±477","(X)","(X)","(X)","(X)","21,226","±1,593","(X)","(X)","(X)","(X)","7,692","±955","(X)","(X)","(X)","(X)","8,617","±944","(X)","(X)","(X)","(X)","4,395","±528","(X)","(X)","(X)","(X)","9,502","±1,023","(X)","(X)","(X)","(X)","8,690","±872","(X)","(X)","(X)","(X)","2,078","±305","(X)","(X)","(X)","(X)","28,006","±1,752","(X)","(X)","(X)","(X)","4,978","±646","(X)","(X)","(X)","(X)","2,370","±282","(X)","(X)","(X)","(X)","15,707","±1,269","(X)","(X)","(X)","(X)","10,500","±1,161","(X)","(X)","(X)","(X)"
"        200 percent of poverty level","2,199,216","±20,771","(X)","(X)","(X)","(X)","5,188","±668","(X)","(X)","(X)","(X)","3,549","±472","(X)","(X)","(X)","(X)","23,640","±1,500","(X)","(X)","(X)","(X)","8,651","±933","(X)","(X)","(X)","(X)","9,128","±902","(X)","(X)","(X)","(X)","4,952","±550","(X)","(X)","(X)","(X)","10,443","±1,059","(X)","(X)","(X)","(X)","10,255","±789","(X)","(X)","(X)","(X)","2,241","±285","(X)","(X)","(X)","(X)","30,492","±1,804","(X)","(X)","(X)","(X)","5,760","±668","(X)","(X)","(X)","(X)","2,453","±293","(X)","(X)","(X)","(X)","17,472","±1,407","(X)","(X)","(X)","(X)","11,596","±1,051","(X)","(X)","(X)","(X)"
"        300 percent of poverty level","3,441,153","±21,661","(X)","(X)","(X)","(X)","8,345","±677","(X)","(X)","(X)","(X)","5,151","±434","(X)","(X)","(X)","(X)","35,655","±1,491","(X)","(X)","(X)","(X)","12,365","±993","(X)","(X)","(X)","(X)","13,294","±850","(X)","(X)","(X)","(X)","7,183","±596","(X)","(X)","(X)","(X)","16,091","±917","(X)","(X)","(X)","(X)","13,770","±765","(X)","(X)","(X)","(X)","3,058","±309","(X)","(X)","(X)","(X)","45,572","±1,447","(X)","(X)","(X)","(X)","10,416","±814","(X)","(X)","(X)","(X)","3,836","±362","(X)","(X)","(X)","(X)","27,226","±1,133","(X)","(X)","(X)","(X)","17,940","±925","(X)","(X)","(X)","(X)"
"        400 percent of poverty level","4,437,631","±19,802","(X)","(X)","(X)","(X)","11,352","±590","(X)","(X)","(X)","(X)","6,130","±374","(X)","(X)","(X)","(X)","45,462","±1,381","(X)","(X)","(X)","(X)","15,656","±869","(X)","(X)","(X)","(X)","16,270","±524","(X)","(X)","(X)","(X)","8,760","±550","(X)","(X)","(X)","(X)","19,257","±820","(X)","(X)","(X)","(X)","17,067","±764","(X)","(X)","(X)","(X)","3,688","±384","(X)","(X)","(X)","(X)","55,962","±1,542","(X)","(X)","(X)","(X)","13,794","±653","(X)","(X)","(X)","(X)","4,624","±324","(X)","(X)","(X)","(X)","32,322","±1,043","(X)","(X)","(X)","(X)","20,994","±911","(X)","(X)","(X)","(X)"
"        500 percent of poverty level","5,171,594","±16,823","(X)","(X)","(X)","(X)","12,443","±480","(X)","(X)","(X)","(X)","6,892","±222","(X)","(X)","(X)","(X)","51,787","±1,123","(X)","(X)","(X)","(X)","17,674","±632","(X)","(X)","(X)","(X)","17,382","±418","(X)","(X)","(X)","(X)","9,881","±443","(X)","(X)","(X)","(X)","22,147","±712","(X)","(X)","(X)","(X)","18,783","±642","(X)","(X)","(X)","(X)","4,054","±336","(X)","(X)","(X)","(X)","63,044","±1,399","(X)","(X)","(X)","(X)","16,066","±531","(X)","(X)","(X)","(X)","5,275","±368","(X)","(X)","(X)","(X)","36,040","±860","(X)","(X)","(X)","(X)","24,565","±644","(X)","(X)","(X)","(X)"
"UNRELATED INDIVIDUALS FOR WHOM POVERTY STATUS IS DETERMINED","1,387,523","±10,281","348,653","±5,543","25.1%","±0.3","2,774","±326","899","±273","32.4%","±8.5","1,458","±295","676","±208","46.4%","±8.8","11,834","±804","3,631","±497","30.7%","±3.4","3,936","±491","1,325","±334","33.7%","±6.4","3,544","±435","1,497","±277","42.2%","±5.9","2,167","±331","738","±170","34.1%","±6.7","4,430","±627","1,387","±299","31.3%","±6.2","4,130","±438","1,446","±358","35.0%","±6.7","918","±172","362","±113","39.4%","±10.6","17,464","±1,004","5,678","±576","32.5%","±3.3","3,096","±429","667","±189","21.5%","±4.9","1,034","±221","231","±92","22.3%","±7.9","7,896","±648","2,497","±439","31.6%","±4.2","5,682","±621","1,482","±293","26.1%","±5.9"
"    Male","675,140","±6,980","152,241","±4,048","22.5%","±0.5","1,546","±268","501","±217","32.4%","±11.2","670","±176","309","±138","46.1%","±13.6","5,574","±582","1,576","±356","28.3%","±5.4","1,944","±318","609","±246","31.3%","±9.9","1,588","±256","800","±202","50.4%","±10.6","1,158","±217","351","±121","30.3%","±9.0","2,120","±406","563","±185","26.6%","±8.0","1,805","±236","565","±158","31.3%","±7.7","410","±118","155","±63","37.8%","±12.8","9,286","±605","3,138","±413","33.8%","±4.7","1,517","±233","246","±94","16.2%","±5.8","510","±147","106","±56","20.8%","±9.2","3,863","±387","1,084","±224","28.1%","±4.9","2,841","±400","642","±190","22.6%","±7.0"
"    Female","712,383","±6,623","196,412","±3,737","27.6%","±0.4","1,228","±207","398","±126","32.4%","±9.2","788","±188","367","±148","46.6%","±12.9","6,260","±511","2,055","±366","32.8%","±4.6","1,992","±269","716","±228","35.9%","±9.4","1,956","±263","697","±166","35.6%","±8.1","1,009","±188","387","±125","38.4%","±9.9","2,310","±416","824","±236","35.7%","±9.3","2,325","±304","881","±271","37.9%","±9.0","508","±99","207","±92","40.7%","±14.9","8,178","±712","2,540","±389","31.1%","±4.0","1,579","±252","421","±133","26.7%","±6.9","524","±119","125","±56","23.9%","±10.2","4,033","±439","1,413","±327","35.0%","±6.3","2,841","±378","840","±274","29.6%","±9.1"
